z,n,name,bindingEnergy,bindingEnergyUncertainty
35,35,70Br,8.41E+3,2.12E-1
35,34,69Br,8.34E+3,6.08E-1
35,33,68Br,8.23E+3,4.00
35,39,74Br,8.58E+3,7.89E-2
35,39,74Br,8.58E+3,7.89E-2
36,64,100Kr,8.13E+3,4.00
36,63,99Kr,8.17E+3,4.00
36,62,98Kr,8.23E+3,3.00
36,61,97Kr,8.26E+3,1.34
36,60,96Kr,8.33E+3,2.00E-1
36,65,101Kr,8.07E+3,5.00
36,53,89Kr,8.61E+3,2.41E-2
36,52,88Kr,8.65E+3,2.96E-2
36,51,87Kr,8.67E+3,2.80E-3
36,50,86Kr,8.71E+3,3.00E-4
36,59,95Kr,8.36E+3,1.96E-1
36,58,94Kr,8.42E+3,1.28E-1
36,57,93Kr,8.45E+3,2.70E-2
36,56,92Kr,8.51E+3,2.94E-2
36,55,91Kr,8.54E+3,2.46E-2
36,54,90Kr,8.59E+3,2.07E-2
36,42,78Kr,8.66E+3,3.90E-3
36,41,77Kr,8.61E+3,2.54E-2
36,40,76Kr,8.60E+3,5.28E-2
36,49,85Kr,8.69E+3,2.35E-2
36,49,85Kr,8.69E+3,2.35E-2
36,48,84Kr,8.71E+3,3.00E-4
36,47,83Kr,8.69E+3,3.00E-4
36,47,83Kr,8.69E+3,3.00E-4
36,46,82Kr,8.71E+3,3.00E-4
36,45,81Kr,8.68E+3,1.33E-2
36,45,81Kr,8.68E+3,1.33E-2
36,44,80Kr,8.69E+3,8.69E-3
36,43,79Kr,8.65E+3,4.41E-2
36,43,79Kr,8.65E+3,4.41E-2
36,31,67Kr,7.88E+3,6.00
36,39,75Kr,8.55E+3,1.08E-1
36,38,74Kr,8.53E+3,2.72E-2
36,37,73Kr,8.46E+3,9.01E-2
36,36,72Kr,8.42E+3,1.11E-1
36,35,71Kr,8.32E+3,1.81
36,34,70Kr,8.25E+3,3.00
36,33,69Kr,8.12E+3,4.00
36,32,68Kr,8.03E+3,7.00
37,55,92Rb,8.56E+3,6.66E-2
37,56,93Rb,8.54E+3,8.42E-2
37,57,94Rb,8.49E+3,2.16E-2
37,58,95Rb,8.46E+3,2.13E-1
37,59,96Rb,8.40E+3,3.49E-2
37,50,87Rb,8.71E+3,3.00E-4
37,51,88Rb,8.68E+3,1.80E-3
37,52,89Rb,8.66E+3,6.10E-2
37,53,90Rb,8.63E+3,7.17E-2
37,53,90Rb,8.63E+3,7.17E-2
37,54,91Rb,8.60E+3,8.57E-2
37,44,81Rb,8.64E+3,6.05E-2
37,44,81Rb,8.64E+3,6.05E-2
37,45,82Rb,8.64E+3,3.67E-2
37,45,82Rb,8.64E+3,3.67E-2
37,46,83Rb,8.67E+3,2.81E-2
37,47,84Rb,8.67E+3,2.61E-2
37,47,84Rb,8.67E+3,2.61E-2
37,48,85Rb,8.69E+3,3.00E-4
37,49,86Rb,8.69E+3,2.30E-3
37,49,86Rb,8.69E+3,2.30E-3
37,40,77Rb,8.53E+3,1.68E-2
37,41,78Rb,8.55E+3,4.15E-2
37,41,78Rb,8.55E+3,4.15E-2
37,42,79Rb,8.60E+3,2.46E-2
37,43,80Rb,8.61E+3,2.33E-2
37,35,72Rb,8.20E+3,7.00
37,36,73Rb,8.30E+3,5.58E-1
37,37,74Rb,8.38E+3,4.09E-2
37,38,75Rb,8.44E+3,1.57E-2
37,39,76Rb,8.48E+3,1.23E-2
37,66,103Rb,8.11E+3,4.00
37,67,104Rb,8.05E+3,5.00
37,60,97Rb,8.37E+3,1.97E-2
37,61,98Rb,8.33E+3,1.64E-1
37,61,98Rb,8.33E+3,1.64E-1
37,62,99Rb,8.29E+3,4.07E-2
37,63,100Rb,8.24E+3,1.31E-1
37,64,101Rb,8.20E+3,2.02E-1
37,65,102Rb,8.15E+3,8.12E-1
38,67,105Sr,8.15E+3,5.00
38,68,106Sr,8.11E+3,6.00
38,69,107Sr,8.05E+3,7.00
38,60,98Sr,8.44E+3,3.29E-2
38,61,99Sr,8.40E+3,4.79E-2
38,62,100Sr,8.37E+3,6.92E-2
38,63,101Sr,8.32E+3,8.40E-2
38,64,102Sr,8.29E+3,6.57E-1
38,65,103Sr,8.24E+3,2.00
38,66,104Sr,8.20E+3,3.00
38,56,94Sr,8.59E+3,1.77E-2
38,57,95Sr,8.54E+3,6.12E-2
38,58,96Sr,8.52E+3,8.82E-2
38,59,97Sr,8.47E+3,3.49E-2
38,50,88Sr,8.73E+3,3.00E-4
38,51,89Sr,8.70E+3,1.10E-3
38,52,90Sr,8.69E+3,1.61E-2
38,53,91Sr,8.66E+3,5.99E-2
38,54,92Sr,8.64E+3,3.71E-2
38,55,93Sr,8.61E+3,8.12E-2
38,45,83Sr,8.63E+3,8.23E-2
38,45,83Sr,8.63E+3,8.23E-2
38,46,84Sr,8.67E+3,1.48E-2
38,47,85Sr,8.67E+3,3.31E-2
38,47,85Sr,8.67E+3,3.31E-2
38,48,86Sr,8.70E+3,3.00E-4
38,49,87Sr,8.70E+3,3.00E-4
38,49,87Sr,8.70E+3,3.00E-4
38,40,78Sr,8.50E+3,9.55E-2
38,41,79Sr,8.52E+3,9.39E-2
38,42,80Sr,8.57E+3,4.33E-2
38,43,81Sr,8.58E+3,3.86E-2
38,44,82Sr,8.63E+3,7.31E-2
38,35,73Sr,8.10E+3,5.00
38,36,74Sr,8.22E+3,1.00
38,37,75Sr,8.29E+3,2.93
38,38,76Sr,8.39E+3,4.53E-1
38,39,77Sr,8.43E+3,1.02E-1
39,69,108Y,8.12E+3,6.00
39,68,107Y,8.17E+3,5.00
39,61,100Y,8.43E+3,1.11E-1
39,61,100Y,8.43E+3,1.11E-1
39,60,99Y,8.47E+3,6.68E-2
39,63,102Y,8.37E+3,4.00E-2
39,63,102Y,8.37E+3,4.00E-2
39,62,101Y,8.41E+3,7.01E-2
39,65,104Y,8.29E+3,2.00
39,64,103Y,8.34E+3,1.08E-1
39,67,106Y,8.21E+3,5.00
39,66,105Y,8.26E+3,4.00
39,70,109Y,8.08E+3,6.00
39,58,97Y,8.54E+3,6.92E-2
39,58,97Y,8.54E+3,6.92E-2
39,58,97Y,8.54E+3,6.92E-2
39,57,96Y,8.56E+3,6.33E-2
39,57,96Y,8.56E+3,6.33E-2
39,59,98Y,8.49E+3,8.08E-2
39,59,98Y,8.49E+3,8.08E-2
39,50,89Y,8.71E+3,3.80E-3
39,50,89Y,8.71E+3,3.80E-3
39,52,91Y,8.68E+3,2.03E-2
39,52,91Y,8.68E+3,2.03E-2
39,51,90Y,8.69E+3,3.90E-3
39,51,90Y,8.69E+3,3.90E-3
39,54,93Y,8.64E+3,1.12E-1
39,54,93Y,8.64E+3,1.12E-1
39,53,92Y,8.66E+3,9.92E-2
39,56,95Y,8.60E+3,7.14E-2
39,55,94Y,8.62E+3,6.79E-2
39,47,86Y,8.63E+3,1.64E-1
39,47,86Y,8.63E+3,1.64E-1
39,46,85Y,8.62E+3,2.23E-1
39,46,85Y,8.62E+3,2.23E-1
39,49,88Y,8.68E+3,1.70E-2
39,48,87Y,8.67E+3,1.30E-2
39,48,87Y,8.67E+3,1.30E-2
39,41,80Y,8.45E+3,7.80E-2
39,41,80Y,8.45E+3,7.80E-2
39,40,79Y,8.41E+3,1.01
39,43,82Y,8.52E+3,6.71E-2
39,42,81Y,8.50E+3,6.67E-2
39,45,84Y,8.58E+3,5.12E-2
39,45,84Y,8.58E+3,5.12E-2
39,44,83Y,8.57E+3,2.24E-1
39,44,83Y,8.57E+3,2.24E-1
39,38,77Y,8.27E+3,3.00
39,37,76Y,8.17E+3,4.00
39,39,78Y,8.34E+3,4.00
39,39,78Y,8.34E+3,4.00
40,69,109Zr,8.20E+3,5.00
40,68,108Zr,8.25E+3,4.00
40,67,107Zr,8.28E+3,3.00
40,66,106Zr,8.33E+3,2.00
40,61,101Zr,8.48E+3,8.25E-2
40,60,100Zr,8.52E+3,8.14E-2
40,65,105Zr,8.35E+3,1.15E-1
40,64,104Zr,8.40E+3,8.96E-2
40,63,103Zr,8.42E+3,8.95E-2
40,62,102Zr,8.46E+3,8.59E-2
40,58,98Zr,8.58E+3,8.62E-2
40,57,97Zr,8.60E+3,1.30E-3
40,56,96Zr,8.63E+3,1.19E-3
40,55,95Zr,8.64E+3,9.20E-3
40,59,99Zr,8.53E+3,1.06E-1
40,50,90Zr,8.70E+3,1.30E-3
40,50,90Zr,8.70E+3,1.30E-3
40,54,94Zr,8.66E+3,1.80E-3
40,53,93Zr,8.67E+3,4.90E-3
40,52,92Zr,8.69E+3,1.10E-3
40,51,91Zr,8.69E+3,1.10E-3
40,47,87Zr,8.62E+3,4.77E-2
40,47,87Zr,8.62E+3,4.77E-2
40,46,86Zr,8.61E+3,4.15E-2
40,45,85Zr,8.56E+3,7.56E-2
40,45,85Zr,8.56E+3,7.56E-2
40,44,84Zr,8.54E+3,6.55E-2
40,49,89Zr,8.67E+3,3.12E-2
40,49,89Zr,8.67E+3,3.12E-2
40,48,88Zr,8.66E+3,6.14E-2
40,43,83Zr,8.48E+3,7.75E-2
40,42,82Zr,8.46E+3,1.93E-2
40,41,81Zr,8.39E+3,1.13
40,40,80Zr,8.36E+3,4.00
40,39,79Zr,8.26E+3,4.00
40,38,78Zr,8.19E+3,5.00
40,37,77Zr,8.07E+3,5.00
40,72,112Zr,8.08E+3,6.00
40,71,111Zr,8.11E+3,5.00
40,70,110Zr,8.17E+3,5.00
40,73,113Zr,8.02E+3,3.00
41,73,114Nb,8.09E+3,4.00
41,72,113Nb,8.14E+3,4.00
41,71,112Nb,8.17E+3,3.00
41,70,111Nb,8.22E+3,3.00
41,75,116Nb,8.01E+3,3.00
41,74,115Nb,8.06E+3,4.00
41,69,110Nb,8.25E+3,7.62
41,69,110Nb,8.25E+3,7.62
41,68,109Nb,8.29E+3,3.95
41,67,108Nb,8.32E+3,7.63E-2
41,62,103Nb,8.48E+3,3.82E-2
41,61,102Nb,8.50E+3,2.46E-2
41,61,102Nb,8.50E+3,2.46E-2
41,60,101Nb,8.53E+3,3.71E-2
41,66,107Nb,8.36E+3,7.50E-2
41,65,106Nb,8.39E+3,1.34E-2
41,64,105Nb,8.43E+3,3.83E-2
41,63,104Nb,8.45E+3,1.72E-2
41,63,104Nb,8.45E+3,1.72E-2
41,59,100Nb,8.54E+3,7.98E-2
41,59,100Nb,8.54E+3,7.98E-2
41,58,99Nb,8.57E+3,1.21E-1
41,58,99Nb,8.57E+3,1.21E-1
41,57,98Nb,8.59E+3,5.09E-2
41,57,98Nb,8.59E+3,5.09E-2
41,56,97Nb,8.62E+3,4.38E-2
41,56,97Nb,8.62E+3,4.38E-2
41,51,92Nb,8.66E+3,1.94E-2
41,51,92Nb,8.66E+3,1.94E-2
41,50,91Nb,8.67E+3,3.22E-2
41,50,91Nb,8.67E+3,3.22E-2
41,55,96Nb,8.62E+3,1.50E-3
41,54,95Nb,8.64E+3,5.40E-3
41,54,95Nb,8.64E+3,5.40E-3
41,53,94Nb,8.64E+3,1.59E-2
41,53,94Nb,8.64E+3,1.59E-2
41,52,93Nb,8.66E+3,1.60E-2
41,52,93Nb,8.66E+3,1.60E-2
41,48,89Nb,8.61E+3,2.65E-1
41,48,89Nb,8.61E+3,2.65E-1
41,47,88Nb,8.57E+3,6.56E-1
41,47,88Nb,8.57E+3,6.56E-1
41,46,87Nb,8.55E+3,7.82E-2
41,46,87Nb,8.55E+3,7.82E-2
41,45,86Nb,8.50E+3,6.39E-2
41,49,90Nb,8.63E+3,3.69E-2
41,49,90Nb,8.63E+3,3.69E-2
41,40,81Nb,8.24E+3,5.00
41,44,85Nb,8.47E+3,4.82E-2
41,44,85Nb,8.47E+3,4.82E-2
41,43,84Nb,8.41E+3,4.79E-3
41,42,83Nb,8.37E+3,1.95
41,41,82Nb,8.31E+3,4.00
42,70,112Mo,8.29E+3,2.00
42,75,117Mo,8.09E+3,4.00
42,76,118Mo,8.06E+3,4.00
42,77,119Mo,8.01E+3,3.00
42,71,113Mo,8.24E+3,3.00
42,72,114Mo,8.21E+3,3.00
42,73,115Mo,8.17E+3,3.00
42,74,116Mo,8.14E+3,4.00
42,68,110Mo,8.35E+3,2.20E-1
42,69,111Mo,8.31E+3,1.13E-1
42,69,111Mo,8.31E+3,1.13E-1
42,64,106Mo,8.47E+3,8.61E-2
42,65,107Mo,8.44E+3,8.62E-2
42,66,108Mo,8.42E+3,8.54E-2
42,67,109Mo,8.38E+3,1.02E-1
42,60,102Mo,8.56E+3,8.14E-2
42,61,103Mo,8.53E+3,8.95E-2
42,62,104Mo,8.52E+3,8.57E-2
42,63,105Mo,8.49E+3,8.62E-2
42,57,99Mo,8.60E+3,2.30E-3
42,58,100Mo,8.60E+3,3.00E-3
42,59,101Mo,8.57E+3,3.10E-3
42,53,95Mo,8.64E+3,1.30E-3
42,54,96Mo,8.65E+3,1.30E-3
42,55,97Mo,8.63E+3,1.70E-3
42,56,98Mo,8.63E+3,1.80E-3
42,50,92Mo,8.65E+3,1.70E-3
42,51,93Mo,8.65E+3,2.00E-3
42,51,93Mo,8.65E+3,2.00E-3
42,52,94Mo,8.66E+3,1.50E-3
42,46,88Mo,8.52E+3,4.34E-2
42,47,89Mo,8.54E+3,4.40E-2
42,47,89Mo,8.54E+3,4.40E-2
42,48,90Mo,8.59E+3,3.85E-2
42,49,91Mo,8.61E+3,6.86E-2
42,49,91Mo,8.61E+3,6.86E-2
42,42,84Mo,8.32E+3,4.00
42,43,85Mo,8.36E+3,1.86E-1
42,44,86Mo,8.43E+3,3.41E-2
42,45,87Mo,8.46E+3,3.28E-2
42,45,87Mo,8.46E+3,3.28E-2
42,40,82Mo,8.16E+3,5.00
42,41,83Mo,8.23E+3,5.00
42,39,81Mo,8.05E+3,6.00
43,58,101Tc,8.59E+3,2.37E-1
43,59,102Tc,8.57E+3,8.98E-2
43,59,102Tc,8.57E+3,8.98E-2
43,54,97Tc,8.62E+3,4.25E-2
43,54,97Tc,8.62E+3,4.25E-2
43,55,98Tc,8.61E+3,3.45E-2
43,56,99Tc,8.61E+3,9.20E-3
43,56,99Tc,8.61E+3,9.20E-3
43,57,100Tc,8.59E+3,1.35E-2
43,50,93Tc,8.60E+3,1.09E-2
43,50,93Tc,8.60E+3,1.09E-2
43,51,94Tc,8.60E+3,4.33E-2
43,51,94Tc,8.60E+3,4.33E-2
43,52,95Tc,8.62E+3,5.35E-2
43,52,95Tc,8.62E+3,5.35E-2
43,53,96Tc,8.61E+3,5.36E-2
43,53,96Tc,8.61E+3,5.36E-2
43,47,90Tc,8.48E+3,1.14E-2
43,47,90Tc,8.48E+3,1.14E-2
43,48,91Tc,8.53E+3,2.60E-2
43,48,91Tc,8.53E+3,2.60E-2
43,49,92Tc,8.56E+3,3.37E-2
43,43,86Tc,8.28E+3,3.00
43,44,87Tc,8.34E+3,4.82E-2
43,45,88Tc,8.38E+3,4.66E-2
43,45,88Tc,8.38E+3,4.66E-2
43,46,89Tc,8.45E+3,4.29E-2
43,46,89Tc,8.45E+3,4.29E-2
43,42,85Tc,8.21E+3,5.00
43,70,113Tc,8.32E+3,2.97E-2
43,71,114Tc,8.29E+3,3.79
43,71,114Tc,8.29E+3,3.79
43,76,119Tc,8.12E+3,4.00
43,77,120Tc,8.08E+3,4.00
43,78,121Tc,8.05E+3,4.00
43,79,122Tc,8.01E+3,2.00
43,72,115Tc,8.26E+3,2.00
43,73,116Tc,8.22E+3,3.00
43,74,117Tc,8.19E+3,3.00
43,75,118Tc,8.15E+3,3.00
43,69,112Tc,8.35E+3,4.92E-2
43,60,103Tc,8.56E+3,9.52E-2
43,65,108Tc,8.46E+3,8.12E-2
43,66,109Tc,8.44E+3,8.87E-2
43,67,110Tc,8.41E+3,8.63E-2
43,68,111Tc,8.39E+3,9.53E-2
43,61,104Tc,8.54E+3,2.39E-1
43,62,105Tc,8.53E+3,3.35E-1
43,63,106Tc,8.50E+3,1.15E-1
43,64,107Tc,8.49E+3,8.11E-2
44,81,125Ru,8.02E+3,2.00
44,80,124Ru,8.06E+3,5.00
44,70,114Ru,8.38E+3,3.12E-2
44,72,116Ru,8.32E+3,3.20E-2
44,71,115Ru,8.34E+3,2.18E-1
44,78,122Ru,8.13E+3,4.00
44,77,121Ru,8.15E+3,3.00
44,79,123Ru,8.08E+3,4.00
44,74,118Ru,8.26E+3,2.00
44,73,117Ru,8.28E+3,3.70
44,76,120Ru,8.19E+3,3.00
44,75,119Ru,8.22E+3,3.00
44,61,105Ru,8.56E+3,2.38E-2
44,60,104Ru,8.58E+3,2.40E-2
44,67,111Ru,8.45E+3,8.72E-2
44,66,110Ru,8.48E+3,8.11E-2
44,69,113Ru,8.40E+3,3.38E-1
44,69,113Ru,8.40E+3,3.38E-1
44,68,112Ru,8.43E+3,8.57E-2
44,63,107Ru,8.53E+3,8.11E-2
44,62,106Ru,8.56E+3,5.09E-2
44,65,109Ru,8.49E+3,8.21E-2
44,64,108Ru,8.52E+3,8.04E-2
44,59,103Ru,8.58E+3,4.30E-3
44,50,94Ru,8.58E+3,3.34E-2
44,56,100Ru,8.61E+3,3.40E-3
44,55,99Ru,8.60E+3,3.50E-3
44,58,102Ru,8.60E+3,4.10E-3
44,57,101Ru,8.60E+3,4.10E-3
44,52,96Ru,8.60E+3,1.80E-3
44,51,95Ru,8.58E+3,1.00E-1
44,54,98Ru,8.62E+3,6.59E-2
44,53,97Ru,8.60E+3,2.85E-2
44,49,93Ru,8.53E+3,2.22E-2
44,49,93Ru,8.53E+3,2.22E-2
44,48,92Ru,8.50E+3,2.95E-2
44,45,89Ru,8.34E+3,2.72E-1
44,44,88Ru,8.29E+3,3.00
44,47,91Ru,8.44E+3,2.44E-2
44,47,91Ru,8.44E+3,2.44E-2
44,46,90Ru,8.40E+3,4.14E-2
44,41,85Ru,8.02E+3,6.00
44,43,87Ru,8.20E+3,5.00
44,42,86Ru,8.13E+3,5.00
45,82,127Rh,8.06E+3,5.00
45,81,126Rh,8.08E+3,4.00
45,83,128Rh,8.01E+3,2.00
45,80,125Rh,8.12E+3,4.00
45,71,116Rh,8.37E+3,6.36E-1
45,71,116Rh,8.37E+3,6.36E-1
45,70,115Rh,8.41E+3,6.36E-2
45,73,118Rh,8.32E+3,2.05E-1
45,73,118Rh,8.32E+3,2.05E-1
45,72,117Rh,8.35E+3,7.60E-2
45,79,124Rh,8.14E+3,3.00
45,78,123Rh,8.18E+3,3.00
45,75,120Rh,8.26E+3,2.00
45,74,119Rh,8.30E+3,7.83E-2
45,77,122Rh,8.20E+3,2.00
45,76,121Rh,8.24E+3,5.11
45,60,105Rh,8.57E+3,2.38E-2
45,60,105Rh,8.57E+3,2.38E-2
45,62,107Rh,8.55E+3,1.12E-1
45,61,106Rh,8.55E+3,5.08E-2
45,61,106Rh,8.55E+3,5.08E-2
45,68,113Rh,8.45E+3,6.31E-2
45,67,112Rh,8.46E+3,3.93E-1
45,67,112Rh,8.46E+3,3.93E-1
45,69,114Rh,8.42E+3,6.27E-1
45,69,114Rh,8.42E+3,6.27E-1
45,64,109Rh,8.52E+3,3.71E-2
45,63,108Rh,8.53E+3,1.29E-1
45,63,108Rh,8.53E+3,1.29E-1
45,66,111Rh,8.49E+3,6.17E-2
45,65,110Rh,8.50E+3,1.61E-1
45,65,110Rh,8.50E+3,1.61E-1
45,51,96Rh,8.53E+3,1.04E-1
45,51,96Rh,8.53E+3,1.04E-1
45,50,95Rh,8.52E+3,4.09E-2
45,50,95Rh,8.52E+3,4.09E-2
45,57,102Rh,8.57E+3,6.28E-2
45,57,102Rh,8.57E+3,6.28E-2
45,56,101Rh,8.58E+3,5.78E-2
45,56,101Rh,8.58E+3,5.78E-2
45,59,104Rh,8.56E+3,2.21E-2
45,59,104Rh,8.56E+3,2.21E-2
45,58,103Rh,8.58E+3,2.23E-2
45,58,103Rh,8.58E+3,2.23E-2
45,53,98Rh,8.56E+3,1.21E-1
45,53,98Rh,8.56E+3,1.21E-1
45,52,97Rh,8.55E+3,3.65E-1
45,52,97Rh,8.55E+3,3.65E-1
45,55,100Rh,8.57E+3,1.81E-1
45,55,100Rh,8.57E+3,1.81E-1
45,54,99Rh,8.58E+3,1.96E-1
45,54,99Rh,8.58E+3,1.96E-1
45,49,94Rh,8.47E+3,3.59E-2
45,49,94Rh,8.47E+3,3.59E-2
45,46,91Rh,8.32E+3,3.00
45,46,91Rh,8.32E+3,3.00
45,45,90Rh,8.25E+3,2.00
45,45,90Rh,8.25E+3,2.00
45,48,93Rh,8.43E+3,2.83E-2
45,48,93Rh,8.43E+3,2.83E-2
45,47,92Rh,8.37E+3,4.76E-2
45,47,92Rh,8.37E+3,4.76E-2
45,44,89Rh,8.18E+3,4.00
46,83,129Pd,8.08E+3,5.00
46,82,128Pd,8.13E+3,4.00
46,85,131Pd,7.99E+3,2.00
46,84,130Pd,8.04E+3,2.00
46,81,127Pd,8.16E+3,4.00
46,80,126Pd,8.19E+3,3.00
46,80,126Pd,8.19E+3,3.00
46,72,118Pd,8.40E+3,2.11E-2
46,71,117Pd,8.41E+3,6.20E-2
46,74,120Pd,8.35E+3,1.91E-2
46,73,119Pd,8.36E+3,6.93E-2
46,73,119Pd,8.36E+3,6.93E-2
46,70,116Pd,8.44E+3,6.15E-2
46,79,125Pd,8.21E+3,3.00
46,76,122Pd,8.30E+3,1.60E-1
46,75,121Pd,8.32E+3,2.77E-2
46,78,124Pd,8.25E+3,2.00
46,77,123Pd,8.27E+3,6.41
46,77,123Pd,8.27E+3,6.41
46,61,107Pd,8.56E+3,1.12E-2
46,61,107Pd,8.56E+3,1.12E-2
46,60,106Pd,8.57E+3,1.04E-2
46,63,109Pd,8.54E+3,1.02E-2
46,63,109Pd,8.54E+3,1.02E-2
46,62,108Pd,8.56E+3,1.03E-2
46,69,115Pd,8.45E+3,1.17E-1
46,69,115Pd,8.45E+3,1.17E-1
46,68,114Pd,8.48E+3,6.10E-2
46,65,111Pd,8.52E+3,6.60E-3
46,65,111Pd,8.52E+3,6.60E-3
46,64,110Pd,8.54E+3,5.60E-3
46,67,113Pd,8.49E+3,6.15E-2
46,67,113Pd,8.49E+3,6.15E-2
46,66,112Pd,8.52E+3,5.84E-2
46,50,96Pd,8.49E+3,4.37E-2
46,52,98Pd,8.53E+3,4.84E-2
46,51,97Pd,8.50E+3,4.99E-2
46,58,104Pd,8.58E+3,1.29E-2
46,57,103Pd,8.57E+3,8.50E-3
46,59,105Pd,8.57E+3,1.08E-2
46,54,100Pd,8.56E+3,1.76E-1
46,53,99Pd,8.53E+3,5.16E-2
46,56,102Pd,8.58E+3,4.10E-3
46,55,101Pd,8.56E+3,4.54E-2
46,47,93Pd,8.31E+3,3.97
46,46,92Pd,8.27E+3,3.75
46,49,95Pd,8.42E+3,3.19E-2
46,49,95Pd,8.42E+3,3.19E-2
46,49,95Pd,8.42E+3,3.19E-2
46,48,94Pd,8.39E+3,4.56E-2
46,45,91Pd,8.18E+3,5.00
46,44,90Pd,8.11E+3,4.00
47,85,132Ag,8.05E+3,4.00
47,83,130Ag,8.14E+3,3.00
47,84,131Ag,8.10E+3,4.00
47,81,128Ag,8.21E+3,2.00
47,82,129Ag,8.18E+3,3.00
47,82,129Ag,8.18E+3,3.00
47,80,127Ag,8.24E+3,2.00
47,80,127Ag,8.24E+3,2.00
47,74,121Ag,8.38E+3,1.00E-1
47,75,122Ag,8.35E+3,3.13E-1
47,75,122Ag,8.35E+3,3.13E-1
47,72,119Ag,8.42E+3,1.23E-1
47,72,119Ag,8.42E+3,1.23E-1
47,73,120Ag,8.39E+3,3.73E-2
47,73,120Ag,8.39E+3,3.73E-2
47,73,120Ag,8.39E+3,3.73E-2
47,70,117Ag,8.45E+3,1.16E-1
47,70,117Ag,8.45E+3,1.16E-1
47,71,118Ag,8.43E+3,2.13E-2
47,71,118Ag,8.43E+3,2.13E-2
47,78,125Ag,8.29E+3,3.46
47,78,125Ag,8.29E+3,3.46
47,79,126Ag,8.26E+3,2.00
47,79,126Ag,8.26E+3,2.00
47,76,123Ag,8.33E+3,2.65E-1
47,77,124Ag,8.30E+3,2.02
47,77,124Ag,8.30E+3,2.02
47,63,110Ag,8.53E+3,1.17E-2
47,63,110Ag,8.53E+3,1.17E-2
47,64,111Ag,8.53E+3,1.31E-2
47,64,111Ag,8.53E+3,1.31E-2
47,61,108Ag,8.54E+3,2.21E-2
47,61,108Ag,8.54E+3,2.21E-2
47,62,109Ag,8.54E+3,1.18E-2
47,62,109Ag,8.54E+3,1.18E-2
47,60,107Ag,8.55E+3,2.23E-2
47,60,107Ag,8.55E+3,2.23E-2
47,69,116Ag,8.46E+3,2.81E-2
47,69,116Ag,8.46E+3,2.81E-2
47,69,116Ag,8.46E+3,2.81E-2
47,67,114Ag,8.49E+3,4.00E-2
47,68,115Ag,8.49E+3,1.58E-1
47,68,115Ag,8.49E+3,1.58E-1
47,65,112Ag,8.51E+3,2.16E-2
47,66,113Ag,8.51E+3,1.47E-1
47,66,113Ag,8.51E+3,1.47E-1
47,52,99Ag,8.47E+3,6.33E-2
47,52,99Ag,8.47E+3,6.33E-2
47,53,100Ag,8.48E+3,5.00E-2
47,53,100Ag,8.48E+3,5.00E-2
47,50,97Ag,8.42E+3,1.23E-1
47,51,98Ag,8.44E+3,3.35E-1
47,58,105Ag,8.55E+3,4.33E-2
47,58,105Ag,8.55E+3,4.33E-2
47,59,106Ag,8.54E+3,2.85E-2
47,59,106Ag,8.54E+3,2.85E-2
47,56,103Ag,8.53E+3,3.98E-2
47,56,103Ag,8.53E+3,3.98E-2
47,57,104Ag,8.53E+3,4.06E-2
47,57,104Ag,8.53E+3,4.06E-2
47,54,101Ag,8.51E+3,4.79E-2
47,54,101Ag,8.51E+3,4.79E-2
47,55,102Ag,8.51E+3,8.01E-2
47,55,102Ag,8.51E+3,8.01E-2
47,49,96Ag,8.36E+3,9.38E-1
47,49,96Ag,8.36E+3,9.38E-1
47,47,94Ag,8.23E+3,4.00
47,47,94Ag,8.23E+3,4.00
47,47,94Ag,8.23E+3,4.00
47,48,95Ag,8.31E+3,4.00
47,45,92Ag,8.08E+3,4.00
47,46,93Ag,8.17E+3,4.00
48,64,112Cd,8.54E+3,2.20E-3
48,65,113Cd,8.52E+3,2.20E-3
48,65,113Cd,8.52E+3,2.20E-3
48,62,110Cd,8.55E+3,3.50E-3
48,63,111Cd,8.53E+3,3.20E-3
48,63,111Cd,8.53E+3,3.20E-3
48,60,108Cd,8.55E+3,1.04E-2
48,61,109Cd,8.53E+3,1.41E-2
48,68,116Cd,8.51E+3,1.40E-3
48,69,117Cd,8.48E+3,8.69E-3
48,69,117Cd,8.48E+3,8.69E-3
48,66,114Cd,8.53E+3,2.39E-3
48,67,115Cd,8.51E+3,5.70E-3
48,67,115Cd,8.51E+3,5.70E-3
48,53,101Cd,8.45E+3,1.48E-2
48,54,102Cd,8.48E+3,1.62E-2
48,51,99Cd,8.39E+3,1.60E-2
48,52,100Cd,8.43E+3,1.68E-2
48,50,98Cd,8.37E+3,5.28E-1
48,59,107Cd,8.53E+3,1.55E-2
48,57,105Cd,8.51E+3,1.33E-2
48,58,106Cd,8.53E+3,1.04E-2
48,55,103Cd,8.48E+3,1.76E-2
48,56,104Cd,8.51E+3,1.61E-2
48,48,96Cd,8.25E+3,4.00
48,48,96Cd,8.25E+3,4.00
48,49,97Cd,8.31E+3,4.33
48,49,97Cd,8.31E+3,4.33
48,49,97Cd,8.31E+3,4.33
48,46,94Cd,8.10E+3,5.00
48,47,95Cd,8.17E+3,6.00
48,86,134Cd,8.08E+3,2.00
48,84,132Cd,8.16E+3,4.55E-1
48,85,133Cd,8.12E+3,2.00
48,82,130Cd,8.25E+3,1.72E-1
48,83,131Cd,8.20E+3,1.46E-1
48,80,128Cd,8.30E+3,5.03E-2
